id,role_id,permission_id,access,enabled,hidden
1,1,1,grant,1,0
2,1,2,grant,1,1
3,2,3,grant,1,0
4,2,6,grant,1,0
5,2,7,grant,1,0
6,2,11,grant,1,0
7,2,16,grant,1,0
8,3,3,grant,1,0
9,3,6,grant,1,0
10,3,7,grant,1,0
11,3,11,grant,1,0
12,3,16,grant,1,0
13,4,3,grant,1,0
14,4,6,grant,1,0
15,4,7,grant,1,0
16,4,8,grant,1,0
17,4,9,grant,1,0
18,4,10,grant,1,0
19,4,11,grant,1,0
20,4,16,grant,1,0
21,4,14,grant,1,0
22,4,12,grant,1,0
23,5,3,grant,1,0
24,5,6,grant,1,0
25,5,7,grant,1,0
26,5,11,grant,1,0
27,5,16,grant,1,0
28,6,3,grant,1,0
29,6,6,grant,1,0
30,6,7,grant,1,0
31,6,11,grant,1,0
32,6,16,grant,1,0
33,7,3,grant,1,0
34,7,6,grant,1,0
35,7,7,grant,1,0
36,7,9,grant,1,0
37,7,10,grant,1,0
38,7,11,grant,1,0
39,7,12,grant,1,0
40,7,8,grant,1,0
41,7,16,grant,1,0
42,8,3,grant,1,0
43,8,6,grant,1,0
44,8,7,grant,1,0
45,8,11,grant,1,0
46,8,16,grant,1,0
47,9,3,grant,1,0
48,9,6,grant,1,0
49,9,7,grant,1,0
50,9,11,grant,1,0
51,9,16,grant,1,0
52,10,3,grant,1,0
53,10,6,grant,1,0
54,10,7,grant,1,0
55,10,11,grant,1,0
56,10,16,grant,1,0
57,11,3,grant,1,0
58,11,6,grant,1,0
59,11,7,grant,1,0
60,11,11,grant,1,0
61,11,16,grant,1,0
62,12,3,grant,1,0
63,13,3,grant,1,0
64,13,6,grant,1,0
65,13,7,grant,1,0
66,13,8,grant,1,0
67,13,9,grant,1,0
68,13,10,grant,1,0
69,13,11,grant,1,0
70,13,12,grant,1,0
71,13,16,grant,1,0
72,13,14,grant,1,0
73,14,3,grant,1,0
74,14,14,grant,1,0
75,15,3,grant,1,0
76,15,5,grant,1,0
77,15,6,grant,1,0
78,15,7,grant,1,0
79,15,8,grant,1,0
80,15,9,grant,1,0
81,15,10,grant,1,0
82,15,11,grant,1,0
83,15,12,grant,1,0
84,15,16,grant,1,0
85,15,13,grant,1,0
86,15,14,grant,1,0
87,15,15,grant,1,0
88,16,3,grant,1,0
89,16,5,grant,1,0
90,16,6,grant,1,0
91,16,7,grant,1,0
92,16,8,grant,1,0
93,16,9,grant,1,0
94,16,10,grant,1,0
95,16,11,grant,1,0
96,16,12,grant,1,0
97,16,13,grant,1,0
98,16,14,grant,1,0
99,16,15,grant,1,0
100,16,16,grant,1,0
101,15,17,grant,1,0
102,13,17,grant,1,0
103,13,19,grant,1,0
104,3,17,grant,1,0
105,16,17,grant,1,0
106,16,18,grant,1,0
107,16,19,grant,1,0
108,4,4,grant,1,0
109,7,4,grant,1,0
110,13,4,grant,1,0
111,15,4,grant,1,0
